,time,topic,truth_value
0,1741468241.1795912,Success,fact
0,1741468252.7275627,Success,lie
0,1741468263.6729932,Pets,fact
0,1741468278.6502306,Future Goals/Dreams,lie
0,1741468291.4860027,Music,fact
0,1741468305.0426612,Hobbies,fact
0,1741468316.2604206,Pets,lie
0,1741468328.004354,Success,fact
0,1741468340.6179702,Hobbies,fact
0,1741468352.0429997,Work,lie
0,1741468363.9308078,Movies,lie
0,1741468376.7058408,Movies,fact
0,1741468388.8333263,Hobbies,lie
0,1741468397.9722176,Movies,fact
0,1741468411.074879,Music,fact
0,1741468425.4131901,Work,lie
0,1741468436.7739458,Food,lie
